resource_name,nsmi_category,state,qualify_sentence,description,url
Public Defender,Crime and Prisons,Alabama,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person) * 1.25
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person) * 2
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'UNDETERMINED'
  return 'BAD'",Indigent if income is below 125% and the person is unable to pay the cost of an attorney or between 125% and 200% if the failure to appoint counsel would result in substantial hardship. AL ST § 15-12-1(4)(a)(b),https://codes.findlaw.com/al/title-15-criminal-procedure/al-code-sect-15-12-1.html
Public Defender,Crime and Prisons,Alaska,"def qualify():
  starting_income = 15600
  income_per_person = 5530
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person)
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person)
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'","The court can assume that a defendant’s expenses are equal to the Federal Poverty Guidelines.
Rule of Criminal Procedure 39.1(h)(2)",http://hackathon.myinstantattorney.com/playgroundstatic/3/rule_39_indigency_alaska_crim_code.pdf
Public Defender,Crime and Prisons,Arizona,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person);
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person);
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'

  return 'BAD'",na,https://addpc.az.gov/sites/default/files/media/Public%20Defender%20Brief%202016_3.pdf
Public Defender,Crime and Prisons,Arkansas,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person);
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person);
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'",na,https://www.arcourts.gov/rules-and-administrative-orders/court-rules/rule-82-appointment-counsel
Public Defender,Crime and Prisons,California,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person);
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person);
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'",na,http://www.ospd.ca.gov/
Public Defender,Crime and Prisons,Colorado,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person);
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person);
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'",na,"https://www.courts.state.co.us/Courts/Supreme_Court/Directives/04-04_Amended%20effective%20July%201,%202018%20Attachment%20B%20Amended%20March%202019%20WEB.pdf"
Public Defender,Crime and Prisons,Connecticut,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person) * 1.5
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person) * 1.5
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'",A defendant charged with a misdemeanor may be eligible if his annual income is below 150% and if charged with a felony if his income is less than 200% of the Federal Poverty Guidelines. Division of Public Defender Services Income Eligibility Guidelines.,https://www.ct.gov/ocpd/cwp/view.asp?a=4089&q=604648
Public Defender,Crime and Prisons,Delaware,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person);
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person);
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'",na,https://ods.delaware.gov/how-get-attorney/
Public Defender,Crime and Prisons,District of Columbia,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person);
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person);
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'","na but Eligibility is determined based in part on the Department of Labor’s Lower Living Standards, which are significantly higher than the Federal Poverty Guidelines",https://www.pdsdc.org/
Public Defender,Crime and Prisons,Florida,"def qualify():
  starting_income = 12490
  income_per_person = 4420
  threshold_level_good = (starting_income + (household_size - 1) * income_per_person) * 2
  threshold_level_maybe = (starting_income + (household_size - 1) * income_per_person) * 2
  if household_income <= threshold_level_good:
  	return 'GOOD'
  if household_income <= threshold_level_maybe:
  	return 'MAYBE'
  return 'BAD'","Defendants are indigent if their household income is below 200% of the Federal Poverty Guidelines or if the person is receiving Temporary Assistance for Needy Families-Cash Assistance, poverty-related veterans’ benefits, or Supplemental Security Income (SSI). FL ST ",http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0000-0099/0027/Sections/0027.52.html
